product_id,h1,sku
23334,"Выключатель дифференциального тока (УЗО) ECOНОМЕ 2P 32A 30мА, АСКО-УКРЕМ",ECO020010003
23333,"Выключатель дифференциального тока (УЗО) ПЗВ-2001 2P 16А 30мА, АСКО-УКРЕМ",A0020010002
23332,"Выключатель дифференциального тока (УЗО) ПЗВ-2001 2P 32А 30мА, АСКО-УКРЕМ",A0020010004
23331,"Устройство защитного отключения (УЗО) e.rccb.stand.2.40.30, 2P 40 А 30 мА тип AC, E.NEXT",s034002
23330,"Устройство защитного отключения (УЗО) e.rccb.stand.2.25.30, 2P 25 А 30 мА тип AC, E.NEXT",s034001
23329,"Устройство защитного отключения (УЗО) e.rccb.stand.2.25.10, 2P 25 А 10 мА тип AC, E.NEXT",s034007
23328,"Устройство защитного отключения (УЗО) e.rccb.pro.2.40.30, 2P 40 А 30 мА тип AC, E.NEXT",p003005
23327,"Устройство защитного отключения (УЗО) e.industrial.rccb.2.63.30, 2P 63 А 30 мА тип AC, E.NEXT",i0220003
23326,"Устройство защитного отключения (УЗО) e.industrial.rccb.2.40.30, 2P 40 А 30 мА тип AC, E.NEXT",i0220002
23325,"Устройство защитного отключения (УЗО) CD463J 4P 63A 30mA тип A, Hager",CD463J
23324,"Устройство защитного отключения (УЗО) CF464J 4P 63A 300mA тип AC, Hager",CF464J
23323,"Устройство защитного отключения (УЗО) CC216J 2P 16A 10mA тип A, Hager",CC216J
23322,"Устройство защитного отключения (УЗО) CD225J 2P 25A 30mA тип A, Hager",CD225J
23322,"Устройство защитного отключения (УЗО) CD225J 2P 25A 30mA тип A, Hager",CD225J
23321,"Устройство защитного отключения (УЗО) CD263J 2P 63A 30mA тип A, Hager",CD263J
23320,"Устройство защитного отключения (УЗО) ВД1-63 4P 100 А 100 мА тип AC, IEK",MDV10-4-100-100
23319,"Устройство защитного отключения (УЗО) ВД1-63 2P 25 А 30 мА тип AC, IEK",MDV10-2-025-030
