ёмкость
наличие металлических частей
наличие скрытой проводки
напряжение переменного тока
напряжение постоянного тока
объем
освещенность
переменный ток
плотность электромагнитного напряжения
площадь
полярность напряжения постоянного тока
постоянный ток
расстояние
сопротивление
температура
целостность цепи
частота
чередование фаз
