URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип,Диаметр
https://001.com.ua/derzhatel-s-zaschelkoy-cf25-dlya-trub-d25-mm-seryy-iek,new,,,https://001.com.ua/media/photos/iek/cabsystems/iek-derzhatel-s-zaschelkoy-cf-dlya-trub-seryy-photo.jpg,"Держатель с защелкой CF25 для труб d25 мм серый, IEK",Труба гладкая ПВХ,IEK,CTA10D-CF25-K41-100,CTA10D-CF25-K41-100,instock,1,12,"3,36","Держатель с защелкой CF25 для труб d25 мм серый, IEK","<h2>Описание товара</h2><p>Назначение: для крепления трубы. Конструкция держателя позволяет соединять между собой несколько держателей.</p><p>Материал: АБС</p><p>Цвет: RAL 7035</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>держатель</td></tr><tr><td>Внешний диаметр трубы, мм</td><td>25</td></tr></tbody></table>","Тримач з защіпкою CF25 для труб d25 мм сірий, IEK","<h2>Опис товару</h2><p>Призначення: для кріплення труби. Конструкція тримача дозволяє з'єднувати між собою кілька тримачів.</p><p>Матеріал: АБС</p><p>Колір: RAL 7035</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>тримач</td></tr><tr><td>Зовнішній діаметр труби, мм</td><td>25</td></tr></tbody></table>",Русский ~ Держатель,Русский ~ 25
https://001.com.ua/mufta-truba-truba-gi32g-dlya-trub-d32-mm-seraya-iek,new,,,https://001.com.ua/media/photos/iek/cabsystems/iek-mufta-truba-truba-gig-dlya-trub-seraya-photo.jpg,"Муфта труба-труба GI32G для труб d32 мм серая, IEK",Труба гладкая ПВХ,IEK,CTA10D-GIG32-K41-025,CTA10D-GIG32-K41-025,instock,1,12,"9,66","Муфта труба-труба GI32G для труб d32 мм серая, IEK","<h2>Описание товара</h2><p>Назначение: для прямолинейного соединения жестких гладких труб одинакового диаметра. Посредине муфты с внутренней стороны находится ограничитель.</p><p>Материал: ПВХ</p><p>Цвет: RAL 7035</p><p>Горючесть: самозатухающий</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>муфта</td></tr><tr><td>Внешний диаметр трубы, мм</td><td>32</td></tr></tbody></table>","Муфта труба-труба GI32G для труб d32 мм сіра, IEK","<h2>Опис товару</h2><p>Призначення: для прямолінійного з'єднання жорстких гладких труб однакового діаметру. Посередині муфти з внутрішньої сторони знаходиться обмежувач.</p><p>Матеріал: ПВХ</p><p>Колір: RAL 7035</p><p>Горючість: самозатухаючий</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>муфта</td></tr><tr><td>Зовнішній діаметр труби, мм</td><td>32</td></tr></tbody></table>",Русский ~ Муфта,Русский ~ 32
https://001.com.ua/truba-gladkaya-zhestkaya-pvh-d40-mm-seraya-iek,new,,,https://001.com.ua/media/photos/iek/cabsystems/iek-truba-gladkaya-zhestkaya-pvh-seraya-photo.jpg,"Труба гладкая жесткая ПВХ d40 мм серая, IEK",Труба гладкая ПВХ,IEK,CTR10-040-K41-024I,CTR10-040-K41-024I,instock,1,12,"51,43","Труба гладкая жесткая ПВХ d40 мм серая, IEK","<h2>Описание товара</h2><p><strong>Гладкие трубы</strong> используются для прокладки силовых и слаботочных линий открытого типа как внутри зданий и сооружений, так и на открытом воздухе. Наличие множества аксессуаров позволяет их применять в любых условиях (IP40, 65, 67). Трубы гладкие жесткие ПВХ соответствуют требованиям ТУ 2248-001-18461115-2010.</p><h3>Преимущества</h3><ul><li>Исключается возникновение пожара при коротком замыкании.</li><li>Дополнительная защита проводки от механических повреждений.</li><li>Широкий ассортимент позволяет решить самые сложные монтажные задачи.</li><li>Высокая степень влаго- и пылезащищенности.</li></ul> <h2>Технические характеристики</h2><ul><li>Материал: самозатухающая композиция ПВХ</li><li>Степень защиты: IP65</li><li>Прочность: свыше 350 Н на 5 см при 20 °С</li><li>Диапазон рабочих температур: -5 °С ÷ +60 °С</li><li>Электрическое сопротивление: не менее 100 МОм (500 В, в течение 1 мин)</li><li>Огнестойкость: не поддерживает горение</li><li>Цвет: серый RAL 7035</li><li>Наружный диаметр, мм: 40</li><li>Внутренний диаметр, мм: 37,5</li></ul> ","Труба гладка жорстка ПВХ d40 мм сіра, IEK","<h2>Опис товару</h2><p><strong>Гладкі труби</strong> використовуються для прокладки силових і слабкострумових ліній відкритого типу як усередині будівель і споруд, так і на відкритому повітрі. Наявність безлічі аксесуарів дозволяє їх застосовувати в будь-яких умовах (IP40, 65, 67). Труби гладкі жорсткі ПВХ відповідають вимогам ТУ 2248-001-18461115-2010.</p><h3>Переваги</h3><ul><li>Виключається виникнення пожежі при короткому замиканні.</li><li>Додатковий захист проводки від механічних пошкоджень.</li><li>Широкий асортимент дозволяє вирішити найскладніші монтажні завдання.</li><li>Висока ступінь волого- та пилезахищеності.</li></ul> <h2>Технічні характеристики</h2><ul><li>Матеріал: самозагасаюча композиція ПВХ</li><li>Ступінь захисту: IP65</li><li>Міцність: понад 350 Н на 5 см при 20 °С</li><li>Діапазон робочих температур: -5 °С ÷ +60 °С</li><li>Електричний опір: не менше 100 МОм (500 В, протягом 1 хв)</li><li>Вогнестійкість: не підтримує горіння</li><li>Колір: сірий RAL 7035</li><li>Зовнішній діаметр, мм: 40</li><li>Внутрішній діаметр, мм: 37,5</li></ul> ",Русский ~ Труба гладкая пвх,Русский ~ 40
https://001.com.ua/truba-gofrirovannaya-pvh-s-zondom-d25-mm-seraya-iek,new,,,https://001.com.ua/media/photos/iek/cabsystems/iek-truba-gofrirovannaya-pvh-s-zondom-seraya-photo.jpg,"Труба гофрированная ПВХ с зондом d25 мм серая, IEK",Труба гладкая ПВХ,IEK,CTG20-25-K41-050I,CTG20-25-K41-050I,instock,1,12,"12,86","Труба гофрированная ПВХ с зондом d25 мм серая, IEK","<h2>Описание товара</h2><p><strong>Гофрированные трубы</strong> используются для прокладки силовых и слаботочных линий скрытого типа внутри зданий и сооружений. Благодаря гибкости трубы, прокладка кабеля осуществляется с минимальными трудозатратами и практически не требует дополнительных аксессуаров.</p><p>Трубы гофрированные ПВХ соответствуют требованиям ТУ 2248-002-18461115-2010.</p><h3>Преимущества</h3><ul><li>Исключается возникновение пожара при коротком замыкании.</li><li>Дополнительная защита проводки от механических повреждений.</li><li>Материал, из которого сделаны трубы, является отличным диэлектриком.</li><li>Гибкость труб обеспечивает быстроту и удобство монтажа с минимальным количеством аксессуаров.</li><li>Удобство протяжки кабеля обеспечивается наличием зонда.</li></ul> <h2>Технические характеристики</h2><ul><li>Материал: самозатухающая композиция ПВХ</li><li>Степень защиты: IP55</li><li>Прочность: свыше 350 Н на 5 см при 20 °С</li><li>Диапазон рабочих температур: -5 °С ÷ +60 °С</li><li>Электрическое сопротивление: не менее 100 МОм (500 В, в течение 1 мин)</li><li>Огнестойкость: не поддерживает горение</li><li>Цвет: серый RAL 7035</li><li>Наружный диаметр, мм: 25</li><li>Внутренний диаметр, мм: 18,3</li></ul> ","Труба гофрована ПВХ з зондом d25 мм сіра, IEK","<h2>Опис товару</h2><p><strong>Гофровані труби</strong> використовуються для прокладки силових і слабкострумових ліній прихованого типу всередині будівель і споруд. Завдяки гнучкості труби, прокладка кабелю здійснюється з мінімальними трудовитратами і практично не вимагає додаткових аксесуарів.</p><p>Труби гофровані ПВХ відповідають вимогам ТУ 2248-002-18461115-2010.</p><h3>Переваги</h3><ul><li>Виключається виникнення пожежі при короткому замиканні.</li><li>Додатковий захист проводки від механічних пошкоджень.</li><li>Матеріал, з якого зроблені труби, є відмінним діелектриком.</li><li>Гнучкість труб забезпечує швидкість і зручність монтажу з мінімальною кількістю аксесуарів.</li><li>Зручність протягання кабелю забезпечується наявністю зонда.</li></ul> <h2>Технічні характеристики</h2><ul><li>Матеріал: самозагасаюча композиція ПВХ</li><li>Ступінь захисту: IP55</li><li>Міцність: понад 350 Н на 5 см при 20 °С</li><li>Діапазон робочих температур: -5 °С ÷ +60 °С</li><li>Електричний опір: не менше 100 МОм (500 В, протягом 1 хв)</li><li>Вогнестійкість: не підтримує горіння</li><li>Колір: сірий RAL 7035</li><li>Зовнішній діаметр, мм: 25</li><li>Внутрішній діаметр, мм: 18,3</li></ul> ",Русский ~ Труба гофрированная пвх,Русский ~ 25
https://001.com.ua/truba-gofrirovannaya-pvh-s-zondom-d40-mm-seraya-iek,new,,,https://001.com.ua/media/photos/iek/cabsystems/iek-truba-gofrirovannaya-pvh-s-zondom-seraya-photo.jpg,"Труба гофрированная ПВХ с зондом d40 мм серая, IEK",Труба гладкая ПВХ,IEK,CTG20-40-K41-015I,CTG20-40-K41-015I,instock,1,12,"33,73","Труба гофрированная ПВХ с зондом d40 мм серая, IEK","<h2>Описание товара</h2><p><strong>Гофрированные трубы</strong> используются для прокладки силовых и слаботочных линий скрытого типа внутри зданий и сооружений. Благодаря гибкости трубы, прокладка кабеля осуществляется с минимальными трудозатратами и практически не требует дополнительных аксессуаров.</p><p>Трубы гофрированные ПВХ соответствуют требованиям ТУ 2248-002-18461115-2010.</p><h3>Преимущества</h3><ul><li>Исключается возникновение пожара при коротком замыкании.</li><li>Дополнительная защита проводки от механических повреждений.</li><li>Материал, из которого сделаны трубы, является отличным диэлектриком.</li><li>Гибкость труб обеспечивает быстроту и удобство монтажа с минимальным количеством аксессуаров.</li><li>Удобство протяжки кабеля обеспечивается наличием зонда.</li></ul> <h2>Технические характеристики</h2><ul><li>Материал: самозатухающая композиция ПВХ</li><li>Степень защиты: IP55</li><li>Прочность: свыше 350 Н на 5 см при 20 °С</li><li>Диапазон рабочих температур: -5 °С ÷ +60 °С</li><li>Электрическое сопротивление: не менее 100 МОм (500 В, в течение 1 мин)</li><li>Огнестойкость: не поддерживает горение</li><li>Цвет: серый RAL 7035</li><li>Наружный диаметр, мм: 40</li><li>Внутренний диаметр, мм: 31,2</li></ul> ","Труба гофрована ПВХ з зондом d40 мм сіра, IEK","<h2>Опис товару</h2><p><strong>Гофровані труби</strong> використовуються для прокладки силових і слабкострумових ліній прихованого типу всередині будівель і споруд. Завдяки гнучкості труби, прокладка кабелю здійснюється з мінімальними трудовитратами і практично не вимагає додаткових аксесуарів.</p><p>Труби гофровані ПВХ відповідають вимогам ТУ 2248-002-18461115-2010.</p><h3>Переваги</h3><ul><li>Виключається виникнення пожежі при короткому замиканні.</li><li>Додатковий захист проводки від механічних пошкоджень.</li><li>Матеріал, з якого зроблені труби, є відмінним діелектриком.</li><li>Гнучкість труб забезпечує швидкість і зручність монтажу з мінімальною кількістю аксесуарів.</li><li>Зручність протягання кабелю забезпечується наявністю зонда.</li></ul> <h2>Технічні характеристики</h2><ul><li>Матеріал: самозагасаюча композиція ПВХ</li><li>Ступінь захисту: IP55</li><li>Міцність: понад 350 Н на 5 см при 20 °С</li><li>Діапазон робочих температур: -5 °С ÷ +60 °С</li><li>Електричний опір: не менше 100 МОм (500 В, протягом 1 хв)</li><li>Вогнестійкість: не підтримує горіння</li><li>Колір: сірий RAL 7035</li><li>Зовнішній діаметр, мм: 40</li><li>Внутрішній діаметр, мм: 31,2</li></ul> ",Русский ~ Труба гофрированная пвх,Русский ~ 40
https://001.com.ua/derzhatel-s-zaschelkoy-cf50-dlya-trub-d50-mm-seryy-iek,new,,,https://001.com.ua/media/photos/iek/cabsystems/iek-derzhatel-s-zaschelkoy-cf-dlya-trub-seryy-photo.jpg,"Держатель с защелкой CF50 для труб d50 мм серый, IEK",Труба гладкая ПВХ,IEK,CTA10D-CF50-K41-025,CTA10D-CF50-K41-025,instock,1,12,"18,78","Держатель с защелкой CF50 для труб d50 мм серый, IEK","<h2>Описание товара</h2><p>Назначение: для крепления трубы. Конструкция держателя позволяет соединять между собой несколько держателей.</p><p>Материал: АБС</p><p>Цвет: RAL 7035</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>держатель</td></tr><tr><td>Внешний диаметр трубы, мм</td><td>50</td></tr></tbody></table>","Тримач з защіпкою CF50 для труб d50 мм сірий, IEK","<h2>Опис товару</h2><p>Призначення: для кріплення труби. Конструкція тримача дозволяє з'єднувати між собою кілька тримачів.</p><p>Матеріал: АБС</p><p>Колір: RAL 7035</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>тримач</td></tr><tr><td>Зовнішній діаметр труби, мм</td><td>50</td></tr></tbody></table>",Русский ~ Держатель,Русский ~ 50
https://001.com.ua/derzhatel-s-zaschelkoy-i-dyubelem-ct25-dlya-trub-d25-mm-seryy-iek,new,,,https://001.com.ua/media/photos/iek/cabsystems/iek-derzhatel-s-zaschelkoy-i-dyubelem-ct-dlya-trub-seryy-photo.jpg,"Держатель с защелкой и дюбелем CT25 для труб d25 мм серый, IEK",Труба гладкая ПВХ,IEK,CTA10D-CT25-K41-100,CTA10D-CT25-K41-100,instock,1,12,"11,34","Держатель с защелкой и дюбелем CT25 для труб d25 мм серый, IEK","<h2>Описание товара</h2><p>Назначение: для крепления трубы. В комплекте держателя уже имеется дюбель с саморезом.</p><p>Материал: ПВХ</p><p>Цвет: RAL 7035</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>держатель</td></tr><tr><td>Внешний диаметр трубы, мм</td><td>25</td></tr></tbody></table>","Тримач з защіпкою та дюбелем CT25 для труб d25 мм сірий, IEK","<h2>Опис товару</h2><p>Призначення: для кріплення труби. У комплекті тримача вже є дюбель з саморізом.</p><p>Матеріал: ПВХ</p><p>Колір: RAL 7035</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>тримач</td></tr><tr><td>Зовнішній діаметр труби, мм</td><td>25</td></tr></tbody></table>",Русский ~ Держатель,Русский ~ 25
https://001.com.ua/derzhatel-s-zaschelkoy-i-dyubelem-ct32-dlya-trub-d32-mm-seryy-iek,new,,,https://001.com.ua/media/photos/iek/cabsystems/iek-derzhatel-s-zaschelkoy-i-dyubelem-ct-dlya-trub-seryy-photo.jpg,"Держатель с защелкой и дюбелем CT32 для труб d32 мм серый, IEK",Труба гладкая ПВХ,IEK,CTA10D-CT32-K41-050,CTA10D-CT32-K41-050,instock,1,12,"18,45","Держатель с защелкой и дюбелем CT32 для труб d32 мм серый, IEK","<h2>Описание товара</h2><p>Назначение: для крепления трубы. В комплекте держателя уже имеется дюбель с саморезом.</p><p>Материал: ПВХ</p><p>Цвет: RAL 7035</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>держатель</td></tr><tr><td>Внешний диаметр трубы, мм</td><td>32</td></tr></tbody></table>","Тримач з защіпкою та дюбелем CT32 для труб d32 мм сірий, IEK","<h2>Опис товару</h2><p>Призначення: для кріплення труби. У комплекті тримача вже є дюбель з саморізом.</p><p>Матеріал: ПВХ</p><p>Колір: RAL 7035</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>тримач</td></tr><tr><td>Зовнішній діаметр труби, мм</td><td>32</td></tr></tbody></table>",Русский ~ Держатель,Русский ~ 32
https://001.com.ua/mufta-truba-truba-gi50g-dlya-trub-d50-mm-seraya-iek,new,,,https://001.com.ua/media/photos/iek/cabsystems/iek-mufta-truba-truba-gig-dlya-trub-seraya-photo.jpg,"Муфта труба-труба GI50G для труб d50 мм серая, IEK",Труба гладкая ПВХ,IEK,CTA10D-GIG50-K41-020,CTA10D-GIG50-K41-020,instock,1,12,"52,07","Муфта труба-труба GI50G для труб d50 мм серая, IEK","<h2>Описание товара</h2><p>Назначение: для прямолинейного соединения жестких гладких труб одинакового диаметра. Посредине муфты с внутренней стороны находится ограничитель.</p><p>Материал: ПВХ</p><p>Цвет: RAL 7035</p><p>Горючесть: самозатухающий</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>муфта</td></tr><tr><td>Внешний диаметр трубы, мм</td><td>50</td></tr></tbody></table>","Муфта труба-труба GI50G для труб d50 мм сіра, IEK","<h2>Опис товару</h2><p>Призначення: для прямолінійного з'єднання жорстких гладких труб однакового діаметру. Посередині муфти з внутрішньої сторони знаходиться обмежувач.</p><p>Матеріал: ПВХ</p><p>Колір: RAL 7035</p><p>Горючість: самозатухаючий</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>муфта</td></tr><tr><td>Зовнішній діаметр труби, мм</td><td>50</td></tr></tbody></table>",Русский ~ Муфта,Русский ~ 50
https://001.com.ua/povorot-na-90-grad-truba-truba-crs50g-dlya-trub-d50-mm-seryy-iek,new,,,https://001.com.ua/media/photos/iek/cabsystems/iek-povorot-na-90-truba-truba-crsg-dlya-trub-seryy-photo.jpg,"Поворот на 90° труба-труба CRS50G для труб d50 мм серый, IEK",Труба гладкая ПВХ,IEK,CTA10D-CRSG50-K41-010,CTA10D-CRSG50-K41-010,instock,1,12,"103,35","Поворот на 90° труба-труба CRS50G для труб d50 мм серый, IEK","<h2>Описание товара</h2><p>Назначение: для соединения гладких жестких труб одинакового диаметра под углом 90°.</p><p>Материал: ПВХ</p><p>Цвет: RAL 7035</p><p>Горючесть: самозатухающий</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип</td><td>поворот</td></tr><tr><td>Внешний диаметр трубы, мм</td><td>50</td></tr></tbody></table>","Поворот на 90° труба-труба CRS50G для труб d50 мм сірий, IEK","<h2>Опис товару</h2><p>Призначення: для з'єднання гладких жорстких труб однакового діаметру під кутом 90°.</p><p>Матеріал: ПВХ</p><p>Колір: RAL 7035</p><p>Горючість: самозатухаючий</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип</td><td>поворот</td></tr><tr><td>Зовнішній діаметр труби, мм</td><td>50</td></tr></tbody></table>",Русский ~ Поворот,Русский ~ 50
