URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description
https://001.com.ua/vyklyuchatel-vki-216-3p-10a-230-400v-ip40-iek,new,,,https://001.com.ua/media/photos/iek/commutation/iek-vyklyuchatel-vki-216-photo.jpg ;; https://001.com.ua/media/photos/iek/commutation/gabaritnye-razmery-iek-vki-216-photo.jpg,"Выключатель ВКИ-216 3P 10А 230/400В IP40, IEK",Выключатели кнопочные,IEK,KVK20-10-3,KVK20-10-3,instock,1,12,"108,13","Выключатель ВКИ-216 3P 10А 230/400В IP40, IEK","<h2>Описание товара</h2><p><strong>Выключатели кнопочные с механической блокировкой серии ВКИ</strong> предназначены для нечастых коммутаций одно- и трехфазных нагрузок индуктивного и активного характера (электродвигателей, осветительных и нагревательных приборов).</p><p>Область применения - управление электрифицированными строительными машинами и механизмами (бетономешалки малых объемов, электроинструмент, цепи временного и уличного освещения, в том числе люминесцентного, мобильные тепловентиляторы, насосы, компрессоры и т.д.).</p><p>По своим конструктивным и техническим характеристикам выключатели кнопочные серии ВКИ соответствуют требованиям международных и украинских стандартов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td colspan=""2"">Номинальное напряжение, В</td><td>230/400 ~</td></tr><tr><td colspan=""2"">Частота сети, Гц</td><td>50</td></tr><tr><td>Номинальный коммутируемый ток в категории применения, А</td><td>АС-3</td><td>10</td></tr><tr><td> </td><td>AC-14</td><td>0,75</td></tr><tr><td> </td><td>AC-15</td><td>3</td></tr><tr><td rowspan=""2"">Номинальная нагрузка в категории применения АС-3, кВт</td><td>230 В</td><td>1,5</td></tr><tr><td>400 В</td><td>2,2</td></tr><tr><td colspan=""2"">Защита от сверхтоков - предохранитель gG, А</td><td>10</td></tr><tr><td colspan=""2"">Условный ток короткого замыкания, А</td><td colspan=""1"">1000</td></tr><tr><td colspan=""2"">Частота коммутаций в час, циклов В-О</td><td>30</td></tr><tr><td colspan=""2"">Электрическая износостойкость, циклов В-О</td><td>10000</td></tr><tr><td colspan=""2"">Механическая износостойкость, циклов В-О</td><td>20000</td></tr><tr><td colspan=""2"">Класс защиты по ГОСТ 12.2.007.0</td><td colspan=""1"">I</td></tr><tr><td colspan=""2"">Степень защиты по ГОСТ 14254</td><td>IP40</td></tr><tr><td colspan=""2"">Климатическое исполнение и категория размещения по ГОСТ 15150</td><td>УХЛ4</td></tr><tr><td colspan=""2"">Срок службы, лет</td><td>5</td></tr><tr><td colspan=""2"">Масса, кг</td><td>0,18</td></tr></tbody></table> ","Вимикач ВКИ-216 3P 10А 230/400В IP40, IEK","<h2>Опис товару</h2><p><strong>Вимикачі кнопкові з механічним блокуванням серії ВКИ</strong> призначені для нечастих комутацій одно- і трифазних навантажень індуктивного і активного характеру (електродвигунів, освітлювальних і нагрівальних приладів).</p><p>Область застосування - управління електрифікованими будівельними машинами та механізмами (бетономішалки малих обсягів, електроінструмент, кола тимчасового та вуличного освітлення, в тому числі люмінесцентного, мобільні тепловентилятори, насоси, компресори і т.д.).</p><p>За своїми конструктивними та технічними характеристиками вимикачі кнопкові серії ВКИ відповідають вимогам міжнародних та українських стандартів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td colspan=""2"">Номінальна напруга, В</td><td>230/400 ~</td></tr><tr><td colspan=""2"">Частота мережі, Гц</td><td>50</td></tr><tr><td>Номінальний струм комутації в категорії застосування, А</td><td>АС-3</td><td>10</td></tr><tr><td> </td><td>AC-14</td><td>0,75</td></tr><tr><td> </td><td>AC-15</td><td>3</td></tr><tr><td rowspan=""2"">Номінальне навантаження в категорії застосування АС-3, кВт</td><td>230 В</td><td>1,5</td></tr><tr><td>400 В</td><td>2,2</td></tr><tr><td colspan=""2"">Захист від надструмів - запобіжник gG, А</td><td>10</td></tr><tr><td colspan=""2"">Умовний струм короткого замикання, А</td><td colspan=""1"">1000</td></tr><tr><td colspan=""2"">Частота комутацій на годину, циклів Вкл-Відкл</td><td>30</td></tr><tr><td colspan=""2"">Електрична зносостійкість, циклів Вкл-Відкл</td><td>10000</td></tr><tr><td colspan=""2"">Механічна зносостійкість, циклів Вкл-Відкл</td><td>20000</td></tr><tr><td colspan=""2"">Клас захисту за ГОСТ 12.2.007.0</td><td colspan=""1"">I</td></tr><tr><td colspan=""2"">Ступінь захисту за ГОСТ 14254</td><td>IP40</td></tr><tr><td colspan=""2"">Кліматичне виконання і категорія розміщення за ГОСТ 15150</td><td>УХЛ4</td></tr><tr><td colspan=""2"">Термін служби, років</td><td>5</td></tr><tr><td colspan=""2"">Маса, кг</td><td>0,18</td></tr></tbody></table> "
https://001.com.ua/vyklyuchatel-vki-230-3p-16a-230-400v-ip40-iek,new,,,https://001.com.ua/media/photos/iek/commutation/iek-vyklyuchatel-vki-230-photo.jpg ;; https://001.com.ua/media/photos/iek/commutation/gabaritnye-razmery-iek-vki-230-photo.jpg,"Выключатель ВКИ-230 3P 16А 230/400В IP40, IEK",Выключатели кнопочные,IEK,KVK30-16-3,KVK30-16-3,outofstock,1,12,"143,66","Выключатель ВКИ-230 3P 16А 230/400В IP40, IEK","<h2>Описание товара</h2><p><strong>Выключатели кнопочные с механической блокировкой серии ВКИ</strong> предназначены для нечастых коммутаций одно- и трехфазных нагрузок индуктивного и активного характера (электродвигателей, осветительных и нагревательных приборов).</p><p>Область применения - управление электрифицированными строительными машинами и механизмами (бетономешалки малых объемов, электроинструмент, цепи временного и уличного освещения, в том числе люминесцентного, мобильные тепловентиляторы, насосы, компрессоры и т.д.).</p><p>По своим конструктивным и техническим характеристикам выключатели кнопочные серии ВКИ соответствуют требованиям международных и украинских стандартов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td colspan=""2"">Номинальное напряжение, В</td><td>230/400 ~</td></tr><tr><td colspan=""2"">Частота сети, Гц</td><td>50</td></tr><tr><td>Номинальный коммутируемый ток в категории применения, А</td><td>АС-3</td><td>16</td></tr><tr><td> </td><td>AC-14</td><td>0,75</td></tr><tr><td> </td><td>AC-15</td><td>3</td></tr><tr><td rowspan=""2"">Номинальная нагрузка в категории применения АС-3, кВт</td><td>230 В</td><td>2,5</td></tr><tr><td>400 В</td><td>3,7</td></tr><tr><td colspan=""2"">Защита от сверхтоков - предохранитель gG, А</td><td>16</td></tr><tr><td colspan=""2"">Условный ток короткого замыкания, А</td><td colspan=""1"">1000</td></tr><tr><td colspan=""2"">Частота коммутаций в час, циклов В-О</td><td>30</td></tr><tr><td colspan=""2"">Электрическая износостойкость, циклов В-О</td><td>10000</td></tr><tr><td colspan=""2"">Механическая износостойкость, циклов В-О</td><td>20000</td></tr><tr><td colspan=""2"">Класс защиты по ГОСТ 12.2.007.0</td><td colspan=""1"">I</td></tr><tr><td colspan=""2"">Степень защиты по ГОСТ 14254</td><td>IP40</td></tr><tr><td colspan=""2"">Климатическое исполнение и категория размещения по ГОСТ 15150</td><td>УХЛ4</td></tr><tr><td colspan=""2"">Срок службы, лет</td><td>5</td></tr><tr><td colspan=""2"">Масса, кг</td><td>0,23</td></tr></tbody></table> ","Вимикач ВКИ-230 3P 16А 230/400В IP40, IEK","<h2>Опис товару</h2><p><strong>Вимикачі кнопкові з механічним блокуванням серії ВКИ</strong> призначені для нечастих комутацій одно- і трифазних навантажень індуктивного і активного характеру (електродвигунів, освітлювальних і нагрівальних приладів).</p><p>Область застосування - управління електрифікованими будівельними машинами та механізмами (бетономішалки малих обсягів, електроінструмент, кола тимчасового та вуличного освітлення, в тому числі люмінесцентного, мобільні тепловентилятори, насоси, компресори і т.д.).</p><p>За своїми конструктивними та технічними характеристиками вимикачі кнопкові серії ВКИ відповідають вимогам міжнародних та українських стандартів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td colspan=""2"">Номінальна напруга, В</td><td>230/400 ~</td></tr><tr><td colspan=""2"">Частота мережі, Гц</td><td>50</td></tr><tr><td>Номінальний струм комутації в категорії застосування, А</td><td>АС-3</td><td>16</td></tr><tr><td> </td><td>AC-14</td><td>0,75</td></tr><tr><td> </td><td>AC-15</td><td>3</td></tr><tr><td rowspan=""2"">Номінальне навантаження в категорії застосування АС-3, кВт</td><td>230 В</td><td>2,5</td></tr><tr><td>400 В</td><td>3,7</td></tr><tr><td colspan=""2"">Захист від надструмів - запобіжник gG, А</td><td>16</td></tr><tr><td colspan=""2"">Умовний струм короткого замикання, А</td><td colspan=""1"">1000</td></tr><tr><td colspan=""2"">Частота комутацій на годину, циклів Вкл-Відкл</td><td>30</td></tr><tr><td colspan=""2"">Електрична зносостійкість, циклів Вкл-Відкл</td><td>10000</td></tr><tr><td colspan=""2"">Механічна зносостійкість, циклів Вкл-Відкл</td><td>20000</td></tr><tr><td colspan=""2"">Клас захисту за ГОСТ 12.2.007.0</td><td colspan=""1"">I</td></tr><tr><td colspan=""2"">Ступінь захисту за ГОСТ 14254</td><td>IP40</td></tr><tr><td colspan=""2"">Кліматичне виконання і категорія розміщення за ГОСТ 15150</td><td>УХЛ4</td></tr><tr><td colspan=""2"">Термін служби, років</td><td>5</td></tr><tr><td colspan=""2"">Маса, кг</td><td>0,23</td></tr></tbody></table> "
https://001.com.ua/vyklyuchatel-vki-211-3p-6a-230-400v-ip40-iek,new,,,https://001.com.ua/media/photos/iek/commutation/iek-vyklyuchatel-vki-211-photo.jpg ;; https://001.com.ua/media/photos/iek/commutation/gabaritnye-razmery-iek-vki-211-photo.jpg,"Выключатель ВКИ-211 3P 6А 230/400В IP40, IEK",Выключатели кнопочные,IEK,KVK10-06-3,KVK10-06-3,outofstock,1,12,"89,32","Выключатель ВКИ-211 3P 6А 230/400В IP40, IEK","<h2>Описание товара</h2><p><strong>Выключатели кнопочные с механической блокировкой серии ВКИ</strong> предназначены для нечастых коммутаций одно- и трехфазных нагрузок индуктивного и активного характера (электродвигателей, осветительных и нагревательных приборов).</p><p>Область применения - управление электрифицированными строительными машинами и механизмами (бетономешалки малых объемов, электроинструмент, цепи временного и уличного освещения, в том числе люминесцентного, мобильные тепловентиляторы, насосы, компрессоры и т.д.).</p><p>По своим конструктивным и техническим характеристикам выключатели кнопочные серии ВКИ соответствуют требованиям международных и украинских стандартов.</p> <h2>Технические характеристики</h2><table><tbody><tr><td colspan=""2"">Номинальное напряжение, В</td><td>230/400 ~</td></tr><tr><td colspan=""2"">Частота сети, Гц</td><td>50</td></tr><tr><td>Номинальный коммутируемый ток в категории применения, А</td><td>АС-3</td><td>6</td></tr><tr><td> </td><td>AC-14</td><td>0,75</td></tr><tr><td> </td><td>AC-15</td><td>3</td></tr><tr><td rowspan=""2"">Номинальная нагрузка в категории применения АС-3, кВт</td><td>230 В</td><td>0,75</td></tr><tr><td>400 В</td><td>1,5</td></tr><tr><td colspan=""2"">Защита от сверхтоков - предохранитель gG, А</td><td>6</td></tr><tr><td colspan=""2"">Условный ток короткого замыкания, А</td><td colspan=""1"">1000</td></tr><tr><td colspan=""2"">Частота коммутаций в час, циклов В-О</td><td>30</td></tr><tr><td colspan=""2"">Электрическая износостойкость, циклов В-О</td><td>10000</td></tr><tr><td colspan=""2"">Механическая износостойкость, циклов В-О</td><td>20000</td></tr><tr><td colspan=""2"">Класс защиты по ГОСТ 12.2.007.0</td><td colspan=""1"">I</td></tr><tr><td colspan=""2"">Степень защиты по ГОСТ 14254</td><td>IP40</td></tr><tr><td colspan=""2"">Климатическое исполнение и категория размещения по ГОСТ 15150</td><td>УХЛ4</td></tr><tr><td colspan=""2"">Срок службы, лет</td><td>5</td></tr><tr><td colspan=""2"">Масса, кг</td><td>0,13</td></tr></tbody></table> ","Вимикач ВКИ-211 3P 6А 230/400В IP40, IEK","<h2>Опис товару</h2><p><strong>Вимикачі кнопкові з механічним блокуванням серії ВКИ</strong> призначені для нечастих комутацій одно- і трифазних навантажень індуктивного і активного характеру (електродвигунів, освітлювальних і нагрівальних приладів).</p><p>Область застосування - управління електрифікованими будівельними машинами та механізмами (бетономішалки малих обсягів, електроінструмент, кола тимчасового та вуличного освітлення, в тому числі люмінесцентного, мобільні тепловентилятори, насоси, компресори і т.д.).</p><p>За своїми конструктивними та технічними характеристиками вимикачі кнопкові серії ВКИ відповідають вимогам міжнародних та українських стандартів.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td colspan=""2"">Номінальна напруга, В</td><td>230/400 ~</td></tr><tr><td colspan=""2"">Частота мережі, Гц</td><td>50</td></tr><tr><td>Номінальний струм комутації в категорії застосування, А</td><td>АС-3</td><td>6</td></tr><tr><td> </td><td>AC-14</td><td>0,75</td></tr><tr><td> </td><td>AC-15</td><td>3</td></tr><tr><td rowspan=""2"">Номінальне навантаження в категорії застосування АС-3, кВт</td><td>230 В</td><td>0,75</td></tr><tr><td>400 В</td><td>1,5</td></tr><tr><td colspan=""2"">Захист від надструмів - запобіжник gG, А</td><td>6</td></tr><tr><td colspan=""2"">Умовний струм короткого замикання, А</td><td colspan=""1"">1000</td></tr><tr><td colspan=""2"">Частота комутацій на годину, циклів Вкл-Відкл</td><td>30</td></tr><tr><td colspan=""2"">Електрична зносостійкість, циклів Вкл-Відкл</td><td>10000</td></tr><tr><td colspan=""2"">Механічна зносостійкість, циклів Вкл-Відкл</td><td>20000</td></tr><tr><td colspan=""2"">Клас захисту за ГОСТ 12.2.007.0</td><td colspan=""1"">I</td></tr><tr><td colspan=""2"">Ступінь захисту за ГОСТ 14254</td><td>IP40</td></tr><tr><td colspan=""2"">Кліматичне виконання і категорія розміщення за ГОСТ 15150</td><td>УХЛ4</td></tr><tr><td colspan=""2"">Термін служби, років</td><td>5</td></tr><tr><td colspan=""2"">Маса, кг</td><td>0,13</td></tr></tbody></table> "
