URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Звуковое давление
https://001.com.ua/zvonok-gromkogo-boya-ebl-1002-empty-100-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/bells/asko-zvonok-grmokogo-boya-ebl-1002-photo.jpg ;; https://001.com.ua/media/photos/asko/bells/gabaritnye-razmery-asko-ukrem-zvonok-gromkogo-boya-ebl-1002-photo.jpg,"Звонок громкого боя EBL-1002 (∅100 мм), АСКО-УКРЕМ",Звонки электрические,АСКО-УКРЕМ,A0160020002,A0160020002,instock,1,12,"315,87","Звонок громкого боя EBL-1002 (∅100 мм), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Для систем звукового оповещення в общественных и производственных помещениях.</p><p>Способ установки - винтами (саморезами). Возможна установка на возгораемые поверхности.</p><p>Материал изготовления:</p><ul><li>основание - механически прочный, термоустойчивый ПВХ;</li><li>резонатор - хромированная сталь;</li></ul><p>Соответствует ГОСТ 12.2.007.0-75.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальное напряжение Un, В</td><td>AC 220</td></tr><tr><td>Потребляемый ток I, мА</td><td>350</td></tr><tr><td>Максимальное время непрерывной работы, мин</td><td>не более 5</td></tr><tr><td>Звуковое давление, dB</td><td>75</td></tr><tr><td>Диапазон рабочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ","Дзвінок гучного бою EBL-1002 (∅100 мм), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Для систем звукового оповіщення в громадських і виробничих приміщеннях.</p><p>Спосіб установки - гвинтами (саморізами). Можлива установка на займисті поверхні.</p><p>Матеріал виготовлення:</p><ul><li>основа - механічно міцний, термостійкий ПВХ;</li><li>резонатор - хромована сталь;</li></ul><p>Відповідає ГОСТ 12.2.007.0-75.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна напруга Un, В</td><td>AC 220</td></tr><tr><td>Струм I, мА</td><td>350</td></tr><tr><td>Максимальний час безперервної роботи, хв</td><td>не більше 5</td></tr><tr><td>Звуковий тиск, dB</td><td>75</td></tr><tr><td>Діапазон робочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ",Русский ~ 
https://001.com.ua/zvonok-gromkogo-boya-ebl-5502-empty-55-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/bells/asko-zvonok-grmokogo-boya-ebl-5502-photo.jpg ;; https://001.com.ua/media/photos/asko/bells/gabaritnye-razmery-asko-ukrem-zvonok-gromkogo-boya-ebl-5502-photo.jpg,"Звонок громкого боя EBL-5502 (∅55 мм), АСКО-УКРЕМ",Звонки электрические,АСКО-УКРЕМ,A0160020008,A0160020008,instock,1,12,"134,33","Звонок громкого боя EBL-5502 (∅55 мм), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Для систем звукового оповещення в общественных и производственных помещениях.</p><p>Способ установки - винтами (саморезами). Возможна установка на возгораемые поверхности.</p><p>Материал изготовления:</p><ul><li>основание - механически прочный, термоустойчивый ПВХ;</li><li>резонатор - хромированная сталь;</li></ul><p>Соответствует ГОСТ 12.2.007.0-75.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальное напряжение Un, В</td><td>AC 220</td></tr><tr><td>Потребляемый ток I, мА</td><td>350</td></tr><tr><td>Максимальное время непрерывной работы, мин</td><td>не более 5</td></tr><tr><td>Звуковое давление, dB</td><td>65</td></tr><tr><td>Диапазон рабочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ","Дзвінок гучного бою EBL-5502 (∅55 мм), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Для систем звукового оповіщення в громадських і виробничих приміщеннях.</p><p>Спосіб установки - гвинтами (саморізами). Можлива установка на займисті поверхні.</p><p>Матеріал виготовлення:</p><ul><li>основа - механічно міцний, термостійкий ПВХ;</li><li>резонатор - хромована сталь;</li></ul><p>Відповідає ГОСТ 12.2.007.0-75.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна напруга Un, В</td><td>AC 220</td></tr><tr><td>Струм I, мА</td><td>350</td></tr><tr><td>Максимальний час безперервної роботи, хв</td><td>не більше 5</td></tr><tr><td>Звуковий тиск, dB</td><td>65</td></tr><tr><td>Діапазон робочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ",Русский ~ 
https://001.com.ua/zvonok-gromkogo-boya-ebl-2502-empty-250-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/bells/asko-zvonok-grmokogo-boya-ebl-2502-photo.jpg ;; https://001.com.ua/media/photos/asko/bells/gabaritnye-razmery-asko-ukrem-zvonok-gromkogo-boya-ebl-2502-photo.jpg,"Звонок громкого боя EBL-2502 (∅250 мм), АСКО-УКРЕМ",Звонки электрические,АСКО-УКРЕМ,A0160020005,A0160020005,instock,1,12,"850,34","Звонок громкого боя EBL-2502 (∅250 мм), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Для систем звукового оповещення в общественных и производственных помещениях.</p><p>Способ установки - винтами (саморезами). Возможна установка на возгораемые поверхности.</p><p>Материал изготовления:</p><ul><li>основание - механически прочный, термоустойчивый ПВХ;</li><li>резонатор - хромированная сталь;</li></ul><p>Соответствует ГОСТ 12.2.007.0-75.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальное напряжение Un, В</td><td>AC 220</td></tr><tr><td>Потребляемый ток I, мА</td><td>350</td></tr><tr><td>Максимальное время непрерывной работы, мин</td><td>не более 5</td></tr><tr><td>Звуковое давление, dB</td><td>85</td></tr><tr><td>Диапазон рабочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ","Дзвінок гучного бою EBL-2502 (∅250 мм), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Для систем звукового оповіщення в громадських і виробничих приміщеннях.</p><p>Спосіб установки - гвинтами (саморізами). Можлива установка на займисті поверхні.</p><p>Матеріал виготовлення:</p><ul><li>основа - механічно міцний, термостійкий ПВХ;</li><li>резонатор - хромована сталь;</li></ul><p>Відповідає ГОСТ 12.2.007.0-75.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна напруга Un, В</td><td>AC 220</td></tr><tr><td>Струм I, мА</td><td>350</td></tr><tr><td>Максимальний час безперервної роботи, хв</td><td>не більше 5</td></tr><tr><td>Звуковий тиск, dB</td><td>85</td></tr><tr><td>Діапазон робочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ",Русский ~ 
https://001.com.ua/zvonok-gromkogo-boya-ebl-7502-empty-75-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/bells/asko-zvonok-grmokogo-boya-ebl-7502-photo.jpg ;; https://001.com.ua/media/photos/asko/bells/gabaritnye-razmery-asko-ukrem-zvonok-gromkogo-boya-ebl-7502-photo.jpg,"Звонок громкого боя EBL-7502 (∅75 мм), АСКО-УКРЕМ",Звонки электрические,АСКО-УКРЕМ,A0160020001,A0160020001,instock,1,12,"231,54","Звонок громкого боя EBL-7502 (∅75 мм), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Для систем звукового оповещення в общественных и производственных помещениях.</p><p>Способ установки - винтами (саморезами). Возможна установка на возгораемые поверхности.</p><p>Материал изготовления:</p><ul><li>основание - механически прочный, термоустойчивый ПВХ;</li><li>резонатор - хромированная сталь;</li></ul><p>Соответствует ГОСТ 12.2.007.0-75.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальное напряжение Un, В</td><td>AC 220</td></tr><tr><td>Потребляемый ток I, мА</td><td>350</td></tr><tr><td>Максимальное время непрерывной работы, мин</td><td>не более 5</td></tr><tr><td>Звуковое давление, dB</td><td>70</td></tr><tr><td>Диапазон рабочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ","Дзвінок гучного бою EBL-7502 (∅75 мм), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Для систем звукового оповіщення в громадських і виробничих приміщеннях.</p><p>Спосіб установки - гвинтами (саморізами). Можлива установка на займисті поверхні.</p><p>Матеріал виготовлення:</p><ul><li>основа - механічно міцний, термостійкий ПВХ;</li><li>резонатор - хромована сталь;</li></ul><p>Відповідає ГОСТ 12.2.007.0-75.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна напруга Un, В</td><td>AC 220</td></tr><tr><td>Струм I, мА</td><td>350</td></tr><tr><td>Максимальний час безперервної роботи, хв</td><td>не більше 5</td></tr><tr><td>Звуковий тиск, dB</td><td>70</td></tr><tr><td>Діапазон робочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ",Русский ~ 
https://001.com.ua/zvonok-gromkogo-boya-ebl-1502-empty-150-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/bells/asko-zvonok-grmokogo-boya-ebl-1502-photo.jpg ;; https://001.com.ua/media/photos/asko/bells/gabaritnye-razmery-asko-ukrem-zvonok-gromkogo-boya-ebl-1502-photo.jpg,"Звонок громкого боя EBL-1502 (∅150 мм), АСКО-УКРЕМ",Звонки электрические,АСКО-УКРЕМ,A0160020003,A0160020003,instock,1,12,"505,82","Звонок громкого боя EBL-1502 (∅150 мм), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Для систем звукового оповещення в общественных и производственных помещениях.</p><p>Способ установки - винтами (саморезами). Возможна установка на возгораемые поверхности.</p><p>Материал изготовления:</p><ul><li>основание - механически прочный, термоустойчивый ПВХ;</li><li>резонатор - хромированная сталь;</li></ul><p>Соответствует ГОСТ 12.2.007.0-75.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальное напряжение Un, В</td><td>AC 220</td></tr><tr><td>Потребляемый ток I, мА</td><td>350</td></tr><tr><td>Максимальное время непрерывной работы, мин</td><td>не более 5</td></tr><tr><td>Звуковое давление, dB</td><td>78</td></tr><tr><td>Диапазон рабочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ","Дзвінок гучного бою EBL-1502 (∅150 мм), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Для систем звукового оповіщення в громадських і виробничих приміщеннях.</p><p>Спосіб установки - гвинтами (саморізами). Можлива установка на займисті поверхні.</p><p>Матеріал виготовлення:</p><ul><li>основа - механічно міцний, термостійкий ПВХ;</li><li>резонатор - хромована сталь;</li></ul><p>Відповідає ГОСТ 12.2.007.0-75.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна напруга Un, В</td><td>AC 220</td></tr><tr><td>Струм I, мА</td><td>350</td></tr><tr><td>Максимальний час безперервної роботи, хв</td><td>не більше 5</td></tr><tr><td>Звуковий тиск, dB</td><td>78</td></tr><tr><td>Діапазон робочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ",Русский ~ 
https://001.com.ua/zvonok-gromkogo-boya-ebl-2002-empty-200-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/bells/asko-zvonok-grmokogo-boya-ebl-2002-photo.jpg ;; https://001.com.ua/media/photos/asko/bells/gabaritnye-razmery-asko-ukrem-zvonok-gromkogo-boya-ebl-2002-photo.jpg,"Звонок громкого боя EBL-2002 (∅200 мм), АСКО-УКРЕМ",Звонки электрические,АСКО-УКРЕМ,A0160020004,A0160020004,instock,1,12,"688,11","Звонок громкого боя EBL-2002 (∅200 мм), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Для систем звукового оповещення в общественных и производственных помещениях.</p><p>Способ установки - винтами (саморезами). Возможна установка на возгораемые поверхности.</p><p>Материал изготовления:</p><ul><li>основание - механически прочный, термоустойчивый ПВХ;</li><li>резонатор - хромированная сталь;</li></ul><p>Соответствует ГОСТ 12.2.007.0-75.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальное напряжение Un, В</td><td>AC 220</td></tr><tr><td>Потребляемый ток I, мА</td><td>350</td></tr><tr><td>Максимальное время непрерывной работы, мин</td><td>не более 5</td></tr><tr><td>Звуковое давление, dB</td><td>80</td></tr><tr><td>Диапазон рабочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ","Дзвінок гучного бою EBL-2002 (∅200 мм), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Для систем звукового оповіщення в громадських і виробничих приміщеннях.</p><p>Спосіб установки - гвинтами (саморізами). Можлива установка на займисті поверхні.</p><p>Матеріал виготовлення:</p><ul><li>основа - механічно міцний, термостійкий ПВХ;</li><li>резонатор - хромована сталь;</li></ul><p>Відповідає ГОСТ 12.2.007.0-75.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна напруга Un, В</td><td>AC 220</td></tr><tr><td>Струм I, мА</td><td>350</td></tr><tr><td>Максимальний час безперервної роботи, хв</td><td>не більше 5</td></tr><tr><td>Звуковий тиск, dB</td><td>80</td></tr><tr><td>Діапазон робочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ",Русский ~ 
https://001.com.ua/zvonok-gromkogo-boya-ebl-3002-empty-300-mm-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/bells/asko-zvonok-grmokogo-boya-ebl-3002-photo.jpg ;; https://001.com.ua/media/photos/asko/bells/gabaritnye-razmery-asko-ukrem-zvonok-gromkogo-boya-ebl-3002-photo.jpg,"Звонок громкого боя EBL-3002 (∅300 мм), АСКО-УКРЕМ",Звонки электрические,АСКО-УКРЕМ,A0160020006,A0160020006,instock,1,12,"1 004,62","Звонок громкого боя EBL-3002 (∅300 мм), АСКО-УКРЕМ","<h2>Описание товара</h2><p>Для систем звукового оповещення в общественных и производственных помещениях.</p><p>Способ установки - винтами (саморезами). Возможна установка на возгораемые поверхности.</p><p>Материал изготовления:</p><ul><li>основание - механически прочный, термоустойчивый ПВХ;</li><li>резонатор - хромированная сталь;</li></ul><p>Соответствует ГОСТ 12.2.007.0-75.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальное напряжение Un, В</td><td>AC 220</td></tr><tr><td>Потребляемый ток I, мА</td><td>350</td></tr><tr><td>Максимальное время непрерывной работы, мин</td><td>не более 5</td></tr><tr><td>Звуковое давление, dB</td><td>90</td></tr><tr><td>Диапазон рабочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ","Дзвінок гучного бою EBL-3002 (∅300 мм), АСКО-УКРЕМ","<h2>Опис товару</h2><p>Для систем звукового оповіщення в громадських і виробничих приміщеннях.</p><p>Спосіб установки - гвинтами (саморізами). Можлива установка на займисті поверхні.</p><p>Матеріал виготовлення:</p><ul><li>основа - механічно міцний, термостійкий ПВХ;</li><li>резонатор - хромована сталь;</li></ul><p>Відповідає ГОСТ 12.2.007.0-75.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна напруга Un, В</td><td>AC 220</td></tr><tr><td>Струм I, мА</td><td>350</td></tr><tr><td>Максимальний час безперервної роботи, хв</td><td>не більше 5</td></tr><tr><td>Звуковий тиск, dB</td><td>90</td></tr><tr><td>Діапазон робочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ",Русский ~ 
https://001.com.ua/zvonok-gromkogo-boya-ebl-2004-empty-cb-8-krasnyy-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/bells/asko-zvonok-grmokogo-boya-ebl-2004-photo.jpg ;; https://001.com.ua/media/photos/asko/bells/gabaritnye-razmery-asko-ukrem-zvonok-gromkogo-boya-ebl-2004-photo.jpg,"Звонок громкого боя EBL-2004 (∅CB-8) красный, АСКО-УКРЕМ",Звонки электрические,АСКО-УКРЕМ,A0160020007,A0160020007,instock,1,12,"869,40","Звонок громкого боя EBL-2004 (∅CB-8) красный, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Для систем звукового оповещення в общественных и производственных помещениях.</p><p>Способ установки - винтами (саморезами). Возможна установка на возгораемые поверхности.</p><p>Материал изготовления:</p><ul><li>основание - металл;</li><li>резонатор - окрашенная сталь;</li></ul><p>Соответствует ГОСТ 12.2.007.0-75.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Номинальное напряжение Un, В</td><td>AC 220</td></tr><tr><td>Потребляемый ток I, мА</td><td>200</td></tr><tr><td>Максимальное время непрерывной работы, мин</td><td>не более 5</td></tr><tr><td>Звуковое давление, dB</td><td>80</td></tr><tr><td>Диапазон рабочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ","Дзвінок гучного бою EBL-2004 (∅CB-8) червоний, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Для систем звукового оповіщення в громадських і виробничих приміщеннях.</p><p>Спосіб установки - гвинтами (саморізами). Можлива установка на займисті поверхні.</p><p>Матеріал виготовлення:</p><ul><li>основа - метал;</li><li>резонатор - пофарбована сталь;</li></ul><p>Відповідає ГОСТ 12.2.007.0-75.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Номінальна напруга Un, В</td><td>AC 220</td></tr><tr><td>Струм I, мА</td><td>200</td></tr><tr><td>Максимальний час безперервної роботи, хв</td><td>не більше 5</td></tr><tr><td>Звуковий тиск, dB</td><td>80</td></tr><tr><td>Діапазон робочих температур, °C</td><td>-10...+40</td></tr></tbody></table> ",Русский ~ 
