URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Тип,Максимальный диаметр резки
https://001.com.ua/lezvie-dlya-gidravlicheskih-nozhnits-sc-16-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-lezvie-dlya-gidravlicheskih-nozhnits-sc-16-photo.jpg,"Лезвие для гидравлических ножниц SC-16, АСКО-УКРЕМ",Инструмент для резки материалов,АСКО-УКРЕМ,A0170020021,A0170020021,instock,1,12,"561,56","Лезвие для гидравлических ножниц SC-16, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Запасное лезвие для гидравлических ножниц SC-16 АСКО-УКРЕМ.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>лезвие для гидравлических ножниц</td></tr><tr><td>Максимальный диаметр резки, мм</td><td>16</td></tr></tbody></table>","Лезо до гідравлічних ножиць SC-16, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Запасне лезо для гідравлічних ножиць SC-16 АСКО-УКРЕМ.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>лезо до гідравлічних ножиць</td></tr><tr><td>Максимальний діаметр різки, мм</td><td>16</td></tr></tbody></table>",Русский ~ Лезвие для гидравлических ножниц,Русский ~ 16
https://001.com.ua/kusachki-dlya-provolochnyh-lotkov-kpl-14-iek,new,,,https://001.com.ua/media/photos/iek/instrument/iek-kusachki-dlya-provolochnyh-lotkov-kpl-14-photo.jpg ;; https://001.com.ua/media/photos/iek/instrument/gabaritnye-razmery-iek-kpl-14-photo.jpg,"Кусачки для проволочных лотков КПЛ-14, IEK",Инструмент для резки материалов,IEK,TKK10-D14,TKK10-D14,instock,1,12,"403,33","Кусачки для проволочных лотков КПЛ-14, IEK","<h2>Описание товара</h2><p>Кусачки с неизолированными рукоятками для проволочных лотков КПЛ-14 торговой марки IEK (далее кусачки) предназначены для перекусывания проволоки при монтаже кабельных лотков (создания необходимого радиуса изгиба при повороте лотка, изменение ширины лотка, Т-образного соединения лотков и т.п.).</p><p>Допускается применение кусачек для перекусывания жил алюминиевых и медных кабелей, не находящихся под потенциалом.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Твердость резцов кусачек, HRCэ</td><td>55</td></tr><tr><td>Масса, кг</td><td>0,95</td></tr><tr><td>Максимальный диаметр перекусываемых проводников, мм</td><td>10</td></tr><tr><td>Максимальное сечение перекусываемых проводников, мм<sup>2</sup></td><td>70</td></tr><tr><td>Максимальная твердость перекусываемых проводников, HRCэ</td><td>30</td></tr></tbody></table> ","Кусачки для дротяних лотків КПЛ-14, IEK","<h2>Опис товару</h2><p>Кусачки з неізольованими рукоятками для дротяних лотків КПЛ-14 торгової марки IEK (далі кусачки) призначені для перекушування дроту при монтажі кабельних лотків (створення необхідного радіуса вигину при повороті лотка, зміна ширини лотка, Т-подібного з'єднання лотків і т.п.).</p><p>Допускається застосування кусачок для перекушування жив алюмінієвих і мідних кабелів, що не знаходяться під потенціалом.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Твердість різців кусачок, HRCе</td><td>55</td></tr><tr><td>Маса, кг</td><td>0,95</td></tr><tr><td>Максимальний діаметр перекушуваних провідників, мм</td><td>10</td></tr><tr><td>Максимальний перетин перекушуваних провідників, мм<sup>2</sup></td><td>70</td></tr><tr><td>Максимальна твердість перекушуваних провідників, HRCе</td><td>30</td></tr></tbody></table> ",Русский ~ Кусачки для сетчатых лотков,Русский ~ 10
https://001.com.ua/gidravlicheskie-nozhnitsy-sc-16-dlya-rezki-metalla-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-gidravlicheskie-nozhnitsy-dlya-rezki-metalla-sc-16-photo.jpg ;; https://001.com.ua/media/photos/asko/tools/asko-gidravlicheskie-nozhnitsy-dlya-rezki-metalla-sc-16-box-photo.jpg,"Гидравлические ножницы SC-16 для резки металла, АСКО-УКРЕМ",Инструмент для резки материалов,АСКО-УКРЕМ,A0170010101,A0170010101,instock,1,12,"5 495,94","Гидравлические ножницы SC-16 для резки металла, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для резки прутков из арматурной стали и других менее твердых материалов. При этом обеспечивается безопасность и высокая производительность при проведении работ. Имеют встроенный гидравлический насос. В рабочую головку, выполненную в форме буквы С, поворотную на 180 градусов, устанавливаются сменные ножи, изготавливаемые из стали повышенной твёрдости.</p><p>В комплект входит одна пара ножей, установленная в инструменте. Запасные лезвия можно заказать отдельно.</p><p>Ремкомплект: набор уплотнительных колец в каждом инструменте.</p><p>Прочный пластиковый кейс для хранения инструмента и комплекта сменных матриц.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Минимальный диаметр арматуры, мм</td><td>4</td></tr><tr><td>Максимальный диаметр арматуры, мм</td><td>16</td></tr><tr><td>Усилие, т</td><td>8</td></tr><tr><td>Масса, кг</td><td>2,8</td></tr></tbody></table> ","Гідравлічні ножиці SC-16 для різки металу, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для різання прутків з арматурної сталі та інших менш твердих матеріалів. При цьому забезпечується безпека і висока продуктивність при проведенні робіт. Мають вбудований гідравлічний насос. До робочу головку, виконану у формі букви С, поворотну на 180 градусів, встановлюються змінні ножі, що виготовляються зі сталі підвищеної твердості.</p><p>В комплект входить одна пара ножів, встановлена ​​в інструменті. Запасні леза можна замовити окремо.</p><p>Ремкомплект: набір ущільнювальних кілець в кожному інструменті.</p><p>Міцний пластиковий кейс для зберігання інструменту і комплекту змінних матриць.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Мінімальний діаметр арматури, мм</td><td>4</td></tr><tr><td>Максимальний діаметр арматури, мм</td><td>16</td></tr><tr><td>Зусилля, т</td><td>8</td></tr><tr><td>Маса, кг</td><td>2,8</td></tr></tbody></table> ",Русский ~ Гидравлические ножницы,Русский ~ 16
https://001.com.ua/gidravlicheskie-nozhnitsy-sc-20-dlya-rezki-metalla-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-gidravlicheskie-nozhnitsy-dlya-rezki-metalla-sc-20-photo.jpg ;; https://001.com.ua/media/photos/asko/tools/asko-gidravlicheskie-nozhnitsy-dlya-rezki-metalla-sc-20-box-photo.jpg,"Гидравлические ножницы SC-20 для резки металла, АСКО-УКРЕМ",Инструмент для резки материалов,АСКО-УКРЕМ,A0170010102,A0170010102,instock,1,12,"10 795,06","Гидравлические ножницы SC-20 для резки металла, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначены для резки прутков из арматурной стали и других менее твердых материалов. При этом обеспечивается безопасность и высокая производительность при проведении работ. Имеют встроенный гидравлический насос. В рабочую головку, выполненную в форме буквы С, поворотную на 180 градусов, устанавливаются сменные ножи, изготавливаемые из стали повышенной твёрдости.</p><p>В комплект входит одна пара ножей, установленная в инструменте. Запасные лезвия можно заказать отдельно.</p><p>Ремкомплект: набор уплотнительных колец в каждом инструменте.</p><p>Прочный пластиковый кейс для хранения инструмента и комплекта сменных матриц.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Минимальный диаметр арматуры, мм</td><td>4</td></tr><tr><td>Максимальный диаметр арматуры, мм</td><td>20</td></tr><tr><td>Усилие, т</td><td>12</td></tr><tr><td>Масса, кг</td><td>4,8</td></tr></tbody></table> ","Гідравлічні ножиці SC-20 для різки металу, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначені для різання прутків з арматурної сталі та інших менш твердих матеріалів. При цьому забезпечується безпека і висока продуктивність при проведенні робіт. Мають вбудований гідравлічний насос. До робочу головку, виконану у формі букви С, поворотну на 180 градусів, встановлюються змінні ножі, що виготовляються зі сталі підвищеної твердості.</p><p>В комплект входить одна пара ножів, встановлена ​​в інструменті. Запасні леза можна замовити окремо.</p><p>Ремкомплект: набір ущільнювальних кілець в кожному інструменті.</p><p>Міцний пластиковий кейс для зберігання інструменту і комплекту змінних матриць.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Мінімальний діаметр арматури, мм</td><td>4</td></tr><tr><td>Максимальний діаметр арматури, мм</td><td>20</td></tr><tr><td>Зусилля, т</td><td>12</td></tr><tr><td>Маса, кг</td><td>4,8</td></tr></tbody></table> ",Русский ~ Гидравлические ножницы,Русский ~ 20
https://001.com.ua/lezvie-dlya-gidravlicheskih-nozhnits-sc-20-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-lezvie-dlya-gidravlicheskih-nozhnits-sc-20-photo.jpg,"Лезвие для гидравлических ножниц SC-20, АСКО-УКРЕМ",Инструмент для резки материалов,АСКО-УКРЕМ,A0170020022,A0170020022,instock,1,12,"802,20","Лезвие для гидравлических ножниц SC-20, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Запасное лезвие для гидравлических ножниц SC-20 АСКО-УКРЕМ.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Тип изделия</td><td>лезвие для гидравлических ножниц</td></tr><tr><td>Максимальный диаметр резки, мм</td><td>20</td></tr></tbody></table>","Лезо до гідравлічних ножиць SC-20, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Запасне лезо для гідравлічних ножиць SC-20 АСКО-УКРЕМ.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Тип виробу</td><td>лезо до гідравлічних ножиць</td></tr><tr><td>Максимальний діаметр різки, мм</td><td>20</td></tr></tbody></table>",Русский ~ Лезвие для гидравлических ножниц,Русский ~ 20
https://001.com.ua/instrument-kts-26-42n-dlya-rezki-pvh-i-metalloplastikovyh-trub-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-instrument-dlya-rezki-trub-kts-26-42n-photo.jpg,"Инструмент KTS-26-42N для резки ПВХ и металлопластиковых труб, АСКО-УКРЕМ",Инструмент для резки материалов,АСКО-УКРЕМ,A0170010065,A0170010065,outofstock,1,12,,"Инструмент KTS-26-42N для резки ПВХ и металлопластиковых труб, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначен для резки ПВХ- и металлопластиковых труб.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>ПВХ труба диаметром, мм</td><td>25,4</td></tr><tr><td>Металлопластиковая труба диаметром, мм</td><td>16</td></tr><tr><td>Упаковка</td><td>блистер</td></tr></tbody></table> ","Інструмент KTS-26-42N для різки ПВХ і металопластикових труб, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначений для різання ПВХ- і металопластикових труб.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>ПВХ труба діаметром, мм</td><td>25,4</td></tr><tr><td>Металопластикова труба діаметром, мм</td><td>16</td></tr><tr><td>Упаковка</td><td>блістер</td></tr></tbody></table> ",Русский ~ Инструмент для резки труб,Русский ~ 25
https://001.com.ua/instrument-scc-60s-dlya-rezki-stalnyh-trosov-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-instrument-dlya-rezki-stalnyh-trosov-scc-60s-photo.jpg,"Инструмент SCC-60S для резки стальных тросов, АСКО-УКРЕМ",Инструмент для резки материалов,АСКО-УКРЕМ,A0170010117,A0170010117,outofstock,1,12,,"Инструмент SCC-60S для резки стальных тросов, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначен для резки стальных троссов, медного кабеля или арматурного стержня.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Стальной трос, ∅мм</td><td>до 7</td></tr><tr><td>Медный кабель, мм²</td><td>до 60</td></tr><tr><td>Арматурный стержень, ∅мм</td><td>до 5</td></tr><tr><td>Длина, мм</td><td>280</td></tr><tr><td>Тип ручек</td><td>телескопические</td></tr><tr><td>Вес, кг</td><td>0,6</td></tr><tr><td>Упаковка</td><td>льняная сумка</td></tr></tbody></table> ","Інструмент SCC-60S для різки стальних тросів, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначений для різки сталевих тросів, мідного кабелю або арматурного стрижня.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Сталевий трос, ∅ мм</td><td>до 7</td></tr><tr><td>Мідний кабель, мм²</td><td>до 60</td></tr><tr><td>Арматурний стрижень, ∅ мм</td><td>до 5</td></tr><tr><td>Довжина, мм</td><td>280</td></tr><tr><td>Тип ручок</td><td>телескопічні</td></tr><tr><td>Вага, кг</td><td>0,6</td></tr><tr><td>Упаковка</td><td>лляна сумка</td></tr></tbody></table> ",Русский ~ Инструмент для резки троссов,Русский ~ 7
https://001.com.ua/instrument-scc-100-dlya-rezki-stalnyh-trosov-asko-ukrem,new,,,https://001.com.ua/media/photos/asko/tools/asko-instrument-dlya-rezki-stalnyh-trosov-scc-100-photo.jpg,"Инструмент SCC-100 для резки стальных тросов, АСКО-УКРЕМ",Инструмент для резки материалов,АСКО-УКРЕМ,A0170010116,A0170010116,outofstock,1,12,3 843,"Инструмент SCC-100 для резки стальных тросов, АСКО-УКРЕМ","<h2>Описание товара</h2><p>Предназначен для резки стальных троссов, медного кабеля или арматурного стержня.</p> <h2>Технические характеристики</h2><table><tbody><tr><td>Стальной трос, ∅мм</td><td>до 10</td></tr><tr><td>Медный кабель, мм²</td><td>до 100</td></tr><tr><td>Арматурный стержень, ∅мм</td><td>до 7</td></tr><tr><td>Длина, мм</td><td>600</td></tr><tr><td>Вес, кг</td><td>1,7</td></tr><tr><td>Упаковка</td><td>картонная коробка</td></tr></tbody></table> ","Інструмент SCC-100 для різки стальних тросів, АСКО-УКРЕМ","<h2>Опис товару</h2><p>Призначений для різки сталевих тросів, мідного кабелю або арматурного стрижня.</p> <h2>Технічні характеристики</h2><table><tbody><tr><td>Сталевий трос, ∅ мм</td><td>до 10</td></tr><tr><td>Мідний кабель, мм²</td><td>до 100</td></tr><tr><td>Арматурний стрижень, ∅ мм</td><td>до 7</td></tr><tr><td>Довжина, мм</td><td>600</td></tr><tr><td>Вага, кг</td><td>1,7</td></tr><tr><td>Упаковка</td><td>картонна коробка</td></tr></tbody></table> ",Русский ~ Инструмент для резки троссов,Русский ~ 10
