URL,product_id,Русский slug,Украинский slug,images,item_name,category_name,manufacturer_name,sku,model,stock_status,is_active,warranty,price,Русский title,Русский description,Украинский title,Украинский description,Способ монтажа,Количество модулей,Степень защиты,Место под счетчик,Тип покрытия,Дополнительно,Наличие окошка
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
https://001.com.ua/korpus-metallicheskiy-schurn-3-30zo-1-38-uhl3-ip31-iek,new,,,https://001.com.ua/media/photos/iek/boxes_metal/iek-korpus-metallicheskiy-schurn-3-30-photo.jpg ;; https://001.com.ua/media/photos/iek/boxes_metal/gabaritnye-razmery-iek-schurn-3-30z-photo.jpg,"Корпус металлический ЩУРн-3/30зо-1 38 УХЛ3 IP31, IEK",Щитки металлические,IEK,MKM35-N-30-31-ZO,MKM35-N-30-31-ZO,instock,1,12,"2391,73","Корпус металлический ЩУРн-3/30зо-1 38 УХЛ3 IP31, IEK","<h2>Описание товара</h2><p>Предназначены для сборки учетно-распределительных электрощитов с использованием модульной аппаратуры, для ввода электроэнергии, ее учета и распределения, а также защиты сетей напряжением 230/400 В от токов перегрузки и короткого замыкания.</p><h3>Преимущества</h3><ul><li>Повышенная антикоррозийная стойкость.</li><li>Высококачественное наружное покрытие.</li><li>Единый секрет замка.</li><li>Набор дополнительных аксессуаров.</li><li>Высокая технологичность и простота сборки.</li><li>Несколько цветов и вариантов окраски.</li><li>Высокий уровень электробезопасности.</li><li>Сертификат качества.</li></ul> <h2>Технические характеристики</h2><ul><li>Вид установки: навесной</li><li>Толщина металла: 0,8-1,0 мм</li><li>Номинальный ток: 50 А</li><li>Тип покрытия: ЭПК/шагрень</li><li>Цвет: RAL 9016</li><li>Степень защиты: IP31</li><li>Угол открытия двери: 105°</li><li>Тип применяемых аппаратов: модульные</li></ul><h3>Расшифровка обозначений</h3><p><strong>ЩУРн-3/12зо-1 36 УХЛ3 IP31 </strong></p><ul><li><strong>Щ</strong> - щит</li><li><strong>УР</strong> - учетно-распределительный</li><li><strong>н</strong> - навесное исполнение / <strong>в</strong> - встраиваемый</li><li><strong>1</strong> или <strong>3</strong> - тип счетчика (одно-, трехфазный)</li><li><strong>12-48</strong> - количество модулей</li><li><strong>з</strong> - с замком</li><li><strong>0</strong> - с окном</li><li><strong>1</strong> - номер модификации<ul><li><strong>0</strong> - с цельной оперативной панелью для IP31; с раздельной оперативной панелью для IP54</li><li><strong>1</strong> - с раздельной оперативной панелью для IP31; с цельной оперативной панелью для IP54</li></ul></li><li><strong>3</strong> - тип покрытия<ul><li><strong>3</strong> - ЭПК/шагрень</li><li><strong>5</strong> - ЭПК/глянец</li><li><strong>7</strong> - ППК/шагрень</li></ul></li><li><strong>6</strong> - цвет краски<ul><li><strong>4</strong> - RAL 7032</li><li><strong>6</strong> - RAL 7035</li><li><strong>8</strong> - RAL 9016</li></ul></li><li><strong>УХЛ3, У2</strong> -климатическое исполнение по ГОСТ 15150</li><li><strong>IP31</strong> или <strong>IP54 </strong>- степень защиты по ГОСТ 14254</li></ul> ","Корпус металевий ЩУРн-3/30зо-1 38 УХЛ3 IP31, IEK","<h2>Опис товару</h2><p>Призначені для збирання обліково-розподільних електрощитів з використанням модульної апаратури, для введення електроенергії, її обліку і розподілу, а також захисту мереж напругою 230/400 В від струмів перевантаження і короткого замикання.</p><h3>Переваги</h3><ul><li>Підвищена антикорозійна стійкість.</li><li>Високоякісне зовнішнє покриття.</li><li>Єдиний секрет замку.</li><li>Набір додаткових аксесуарів.</li><li>Висока технологічність і простота збірки.</li><li>Кілька кольорів і варіантів покриття.</li><li>Високий рівень електробезпеки.</li><li>Сертифікат якості.</li></ul> <h2>Технічні характеристики</h2><ul><li>Вид установки: навісний</li><li>Товщина металу: 0,8-1,0 мм</li><li>Номінальний струм: 50 А</li><li>Тип покриття: ЕПК / шагрень</li><li>Колір: RAL 9016</li><li>Ступінь захисту: IP31</li><li>Кут відкриття дверей: 105°</li><li>Тип застосовуваних апаратів: модульні</li></ul><h3>Розшифровка позначень</h3><p><strong>ЩУРн-3/12зо-1 36 УХЛ3 IP31</strong></p><ul><li><strong>Щ</strong> - щит</li><li><strong>УР</strong> - обліково-розподільний</li><li><strong>н</strong> - навісне виконання / <strong>в</strong>- вбудовуваний</li><li><strong>1 </strong>або <strong>3</strong> - тип лічильника (одно-, трифазний)</li><li><strong>12-48</strong> - кількість модулів</li><li><strong>з</strong> - з замком</li><li><strong>0</strong> - з вікном</li><li><strong>1</strong> - номер модифікації<ul><li><strong>0</strong> - з цільною оперативною панеллю для IP31; з роздільною оперативною панеллю для IP54</li><li><strong>1</strong> - з роздільною оперативною панеллю для IP31; з цільною оперативною панеллю для IP54</li></ul></li><li><strong>3</strong> - тип покриття<ul><li><strong>3</strong> - ЕПК / шагрень</li><li><strong>5</strong> - ЕПК / глянець</li><li><strong>7</strong> - ППК / шагрень</li></ul></li><li><strong>6</strong> - колір фарби<ul><li><strong>4</strong> - RAL 7032</li><li><strong>6</strong> - RAL 7035</li><li><strong>8</strong> - RAL 9016</li></ul></li><li><strong>УХЛ3, У2</strong> -кліматичне виконання за ГОСТ 15150</li><li><strong>IP31 </strong>або <strong>IP54</strong> - ступінь захисту за ГОСТ 14254</li></ul> ",Русский ~ Навесной ;; Украинский ~ ,Русский ~ 30 ;; Украинский ~ 30,Русский ~ IP31 ;; Украинский ~ IP31,Русский ~ 3-фазный ;; Украинский ~ ,Русский ~ ЭПК/шагрень ;; Украинский ~ ,Русский ~ Замок ;; Украинский ~ Замок,Русский ~ Есть ;; Украинский ~ 
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
