url,item_name,sku,stock_status,price
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-1-c45-1r-45a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.1.C45 1р 45А C 6кА, E.NEXT",s002162,instock,"77,80"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-1-c35-1r-35a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.1.C35 1р 35А C 6кА, E.NEXT",s002161,instock,"73,92"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-4-c6-4r-6a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.4.C6 4р 6А C 6кА, E.NEXT",s002160,instock,"275,55"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c13-3r-13a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C13 3р 13А C 6кА, E.NEXT",s002159,instock,"229,86"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c13-2r-13a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C13 2р 13А C 6кА, E.NEXT",s002158,instock,"153,25"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-1-c13-1r-13a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.1.C13 1р 13А C 6кА, E.NEXT",s002157,instock,"76,61"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-1-c8-1r-8a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.1.C8 1р 8А C 6кА, E.NEXT",s002156,instock,"76,61"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c5-2r-5a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C5 2р 5А C 6кА, E.NEXT",s002155,instock,177
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c1-2r-1a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C1 2р 1А C 6кА, E.NEXT",s002154,instock,177
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-4-c63-4r-63a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.4.C63 4р 63А C 6кА, E.NEXT",s002153,instock,"340,74"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-4-c50-4r-50a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.4.C50 4р 50А C 6кА, E.NEXT",s002152,instock,"340,74"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-4-c40-4r-40a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.4.C40 4р 40А C 6кА, E.NEXT",s002151,instock,"311,12"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-4-c32-4r-32a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.4.C32 4р 32А C 6кА, E.NEXT",s002150,instock,"295,67"
